,grid_id_old,grid_id
4099,"(134, 188)","(44, 7)"
4101,"(134, 188)","(44, 7)"
4103,"(139, 178)","(48, -3)"
4111,"(135, 180)","(45, -1)"
4117,"(135, 183)","(44, 3)"
4120,"(134, 185)","(44, 4)"
4124,"(133, 224)","(43, 43)"
4128,"(133, 224)","(43, 44)"
4129,"(133, 225)","(42, 45)"
4133,"(132, 222)","(42, 42)"
4138,"(141, 188)","(51, 7)"
4144,"(142, 188)","(51, 7)"
4146,"(142, 188)","(52, 8)"
4147,"(143, 195)","(52, 14)"
4157,"(142, 187)","(51, 7)"
4165,"(142, 188)","(51, 7)"
4173,"(142, 187)","(51, 7)"
4179,"(141, 188)","(51, 7)"
4180,"(101, 180)","(11, 0)"
4185,"(96, 178)","(6, -3)"
4192,"(96, 180)","(6, -1)"
4196,"(101, 180)","(10, 0)"
4202,"(128, 203)","(38, 23)"
4204,"(128, 203)","(37, 22)"
4205,"(128, 203)","(38, 23)"
4209,"(128, 203)","(37, 22)"
4211,"(129, 201)","(39, 21)"
4213,"(131, 203)","(41, 23)"
4218,"(106, 90)","(16, -91)"
4219,"(105, 89)","(15, -92)"
4221,"(106, 92)","(15, -89)"
4231,"(100, 171)","(9, -9)"
4235,"(109, 107)","(18, -74)"
4239,"(109, 109)","(18, -72)"
4245,"(109, 109)","(18, -72)"
4249,"(110, 108)","(20, -73)"
4259,"(109, 107)","(18, -74)"
4298,"(107, 95)","(16, -86)"
4300,"(106, 96)","(15, -85)"
4307,"(105, 92)","(15, -88)"
4320,"(100, 259)","(9, 79)"
4322,"(107, 261)","(16, 80)"
4324,"(125, 255)","(34, 75)"
4325,"(118, 275)","(28, 95)"
4329,"(109, 264)","(19, 84)"
4332,"(110, 265)","(20, 85)"
4337,"(111, 266)","(20, 86)"
4338,"(104, 260)","(13, 79)"
4340,"(113, 269)","(23, 88)"
4341,"(107, 261)","(16, 80)"
4342,"(117, 267)","(26, 86)"
4346,"(123, 255)","(33, 75)"
4348,"(107, 261)","(16, 80)"
4352,"(109, 257)","(18, 77)"
4354,"(107, 263)","(17, 82)"
4355,"(117, 267)","(26, 86)"
4359,"(107, 263)","(17, 82)"
4361,"(113, 253)","(23, 72)"
4369,"(107, 261)","(16, 80)"
4370,"(112, 252)","(21, 71)"
4382,"(120, 260)","(30, 80)"
4386,"(110, 265)","(19, 84)"
4389,"(111, 267)","(21, 87)"
4399,"(105, 259)","(14, 79)"
4415,"(115, 267)","(25, 87)"
4425,"(102, 260)","(12, 79)"
4431,"(113, 253)","(23, 72)"
4469,"(100, 257)","(9, 76)"
4474,"(111, 265)","(21, 85)"
4479,"(117, 265)","(26, 84)"
4485,"(117, 265)","(26, 84)"
4487,"(117, 269)","(27, 88)"
4490,"(111, 256)","(21, 75)"
4492,"(102, 256)","(12, 76)"
4496,"(114, 268)","(23, 87)"
4498,"(117, 269)","(26, 89)"
